,lfd,Ort,GID,LONG,LAT,grid_chr,grid_num,romanNr,trayNr,count,n_places,new
2333,1608,Freudenberg,129703,9.32533,49.75145,Y',22,II,55,1,1,129703
1896,1639,Hemsbach,130279,8.64707,49.59198,a',18,II,57,2,1,130279
1901,1638,Laudenbach,130756,8.65434,49.6119,a',18,II,57,2,1,130756
2315,1697,Hornbach (Hettingenbeuern),130438,9.29012,49.591,a',22,II,57,4,1,130438
2317,1641,Rippberg,127552,9.29762,49.62253,a',22,II,57,4,1,127552
2324,1640,Gottersdorf,130367,9.31064,49.63751,a',22,II,57,4,1,130367
2328,1642,Gerolzahn,127396,9.31895,49.62645,a',22,II,57,4,1,127396
1736,"1592, 1593","Mannheim-Sandhofen, Mannheim-Sandhofen","128628, 128628",8.44789,49.5433,b',17,II,58,5,2,128628
1772,1595,Siedlung Schönau (Mannheim),128699,8.47602,49.54338,b',17,II,58,5,1,128699
1774,1594,Mannheim-Waldhof (Luzenberg),127405,8.47981,49.52527,b',17,II,58,5,1,127405
1793,1677,Mannheim-Gartenstadt,133061,8.50016,49.5305,b',17,II,58,5,1,133061
1807,"1675, 1676","Mannheim-Käfertal, Mannheim-Käfertal","130528, 130528",8.51715,49.51259,b',18,II,58,8,2,130528
1868,1674,Heddesheim,128321,8.60327,49.50529,b',18,II,58,8,1,128321
1905,1673,Großsachsen,130589,8.6595,49.51193,b',18,II,58,8,1,130589
1907,1672,Sulzbach,128136,8.661,49.57763,b',18,II,58,8,1,128136
1911,1679,Lützelsachsen,133395,8.66627,49.52737,b',18,II,58,8,1,133395
1918,1680,Hohensachsen,129259,8.66935,49.51919,b',18,II,58,8,1,129259
1919,1678,Weinheim,129141,8.67068,49.55495,b',18,II,58,8,1,129141
1956,1681,Rippenweier,129137,8.70861,49.50646,b',19,II,58,4,1,129137
1975,1682,Oberflockenbach,128525,8.73109,49.51102,b',19,II,58,4,1,128525
1985,1683,Steinklingen,133863,8.74393,49.51166,b',19,II,58,4,1,133863
2037,1684,Eitersbach,130177,8.80869,49.50208,b',19,II,58,4,1,130177
2193,1685,Friedrichsdorf,130255,9.054,49.52034,b',21,II,58,6,1,130255
2232,1686,Reisenbach,133818,9.12415,49.50336,b',21,II,58,6,1,133818
2246,1687,Scheidental,128503,9.15106,49.50744,b',21,II,58,6,1,128503
2247,1688,Schloßau,132162,9.15226,49.53935,b',21,II,58,6,1,132162
2249,1689,Waldauerbach,129171,9.15798,49.52591,b',21,II,58,6,1,129171
2258,1690,Mörschenhardt,132780,9.17211,49.56893,b',21,II,58,6,1,132780
2267,1691,Donebach,133779,9.19217,49.56113,b',22,II,58,7,1,133779
2273,1693,Mudau-Langenelz,134142,9.20495,49.51744,b',22,II,58,7,1,134142
2274,1692,Mudau,130881,9.20615,49.53336,b',22,II,58,7,1,130881
2288,1696,Steinbach,132849,9.24327,49.54854,b',22,II,58,7,1,132849
2306,1695,Unterneudorf,130207,9.27534,49.52921,b',22,II,58,7,1,130207
2334,1694,Buchen,128376,9.32603,49.52041,b',22,II,58,7,1,128376
2336,1698,Hainstadt,128104,9.33082,49.53905,b',22,II,58,7,1,128104
1758,1596,Mannheim,127642,8.46678,49.4865,c',17,II,59,4,1,127642
1783,"1597, 1598, 1599","Mannheim-Neckarau, Neckarau, Neckarau","131400, 131400, 131400",8.49104,49.45335,c',17,II,59,4,3,131400
1818,1737,Rheinau,127414,8.53056,49.42924,c',18,II,59,12,1,127414
1823,1729,Feudenheim,130436,8.53299,49.4864,c',18,II,59,12,1,130436
1833,1728,Wennheim-Wallstadt,132435,8.5484,49.4957,c',18,II,59,12,1,132435
1844,1733,Seckenheim,127455,8.56313,49.46724,c',18,II,59,12,1,127455
1846,1730,Ilvesheim,129324,8.56668,49.47129,c',18,II,59,12,1,129324
1856,1734,Mannheim-Friedrichsfeld,131943,8.57534,49.44026,c',18,II,59,12,1,131943
1866,1732,Neckarhausen,131667,8.60233,49.46433,c',18,II,59,12,1,131667
1872,1731,Ladenburg,130353,8.61098,49.47244,c',18,II,59,12,1,130353
1874,1735,Edingen,131484,8.61196,49.44847,c',18,II,59,12,1,131484
1903,1739,Leutershausen,128675,8.65616,49.49821,c',18,II,59,12,1,128675
1909,1740,Schrießheim,127938,8.66514,49.47649,c',18,II,59,12,1,127938
1916,1741,Dossenheim,133496,8.66806,49.44988,c',18,II,59,12,1,133496
1933,1742,Handschuhsheim,131234,8.68613,49.42774,c',19,II,59,11,1,131234
1969,1748,Ursenbach,131624,8.72439,49.49399,c',19,II,59,11,1,131624
1979,1747,Altenbach / Schriesheim,132048,8.73843,49.48622,c',19,II,59,11,1,132048
1993,"1745, 1746","Peterstal (keine eigene GID, gleiche wie Wilhelmsfeld), Wilhelmsfeld","128910, 128910",8.7544,49.47018,c',19,II,59,11,2,128910
1999,1744,Ziegelhausen,131087,8.75688,49.41876,c',19,II,59,11,1,131087
2005,1749,Lampenhain,131928,8.76294,49.49811,c',19,II,59,11,1,131928
2028,1750,Heiligkreuzsteinach,127889,8.79709,49.48538,c',19,II,59,11,1,127889
2034,1752,Altneudorf,131138,8.80481,49.46366,c',19,II,59,11,1,131138
2038,1753,Schönau bei Heidelberg,131677,8.80977,49.43706,c',19,II,59,11,1,131677
2049,1751,Heddesbach,129540,8.82774,49.48208,c',19,II,59,11,1,129540
2068,"1738, 1754","Mannheim-Rheinau, Brombach (bei Hirschhorn)","127414, 127423",8.8675,49.48863,c',20,II,59,9,2,"127414, 127423"
2102,1761,Moosbrunn,129574,8.92878,49.42533,c',20,II,59,9,1,129574
2114,1755,Igelsbach,129547,8.94534,49.46217,c',20,II,59,9,1,129547
