romanNr,trayNr,full_name,chr,num,name,downloaded,processed
II,55,II 55,Y',22,22Y',,
II,57,II 57,a',18,18a',,
II,57,II 57,a',22,22a',,
II,58,II 58,b',17,17b',,
II,58,II 58,b',18,18b',,
II,58,II 58,b',19,19b',,
II,58,II 58,b',21,21b',,
II,58,II 58,b',22,22b',,
II,59,II 59,c',17,17c',,
II,59,II 59,c',18,18c',,
II,59,II 59,c',19,19c',,
II,59,II 59,c',20,20c',,
II,59,II 59,c',21,21c',,
II,59,II 59,c',22,22c',,
II,60,II 60,d',18,18d',,
II,60,II 60,d',19,19d',,
II,60,II 60,d',20,20d',,
II,60,II 60,d',21,21d',,
II,60,II 60,d',22,22d',,
II,88,II 88,Y',23,23Y',,
II,88,II 88,Y',24,24Y',,
II,89,II 89,Z',23,23Z',,
II,89,II 89,Z',24,24Z',,
II,89,II 89,Z',25,25Z',,
II,90,II 90,a',23,23a',,
II,90,II 90,a',24,24a',,
II,90,II 90,a',25,25a',,
II,90,II 90,a',26,26a',,
II,91,II 91,b',23,23b',,
II,91,II 91,b',24,24b',,
II,91,II 91,b',25,25b',,
II,92,II 92,c',23,23c',,
II,92,II 92,c',24,24c',,
II,92,II 92,c',25,25c',,
II,93,II 93,d',23,23d',,
II,93,II 93,d',24,24d',,
III,4,III 4,h',9,9h',AL,
III,4,III 4,h',12,12h',AL,
III,4,III 4,h',13,13h',AL,
III,4,III 4,h',14,14h',AL,
III,4,III 4,h',16,16h',AL,
III,5,III 5,i',8,8i',AL,
III,5,III 5,i',9,9i',AL,
III,5,III 5,i',10,10i',AL,
III,5,III 5,i',11,11i',AL,
III,5,III 5,i',12,12i',AL,
III,5,III 5,i',13,13i',AL,
III,5,III 5,i',14,14i',AL,
III,5,III 5,i',15,15i',AL,
III,5,III 5,i',16,16i',AL,
III,6,III 6,k',9,9k',AL,
III,6,III 6,k',10,10k',AL,
III,6,III 6,k',11,11k',AL,
III,6,III 6,k',12,12k',AL,
III,6,III 6,k',13,13k',AL,
III,6,III 6,k',14,14k',AL,
III,6,III 6,k',15,15k',AL,
