"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"1","JH","a'",25,"10","Mappe_01_0001","Vilchband","999","Mosbach","Baden","II_90"
"2","JH","b'",21,"6","Mappe_01_0002","Schloßau","999","Buchen","Baden","II_58"
"3","JH","b'",23,"5","Mappe_01_0003","Bretzingen","999","Buchen","Baden","II_91"
"4","JH","c'",23,"8","Mappe_01_0004","Bronnacker","999","Buchen","Baden","II_92"
"5","JH","d'",18,"5","Mappe_01_0005","Oftersheim","999","Mannheim","Baden","II_60"
"6","JH","d'",20,"1","Mappe_01_0006","Neckarsteinach","999","Bergstraße","Gau Hessen Nassau","II_60"
"7","JH","d'",22,"3","Mappe_01_0007","Auerbach","999","Mosbach","Baden","II_60"
"8","JH","f'",18,"2","Mappe_01_0008","Kirrlach","999","Bruchsal","Baden","III_19"
"9","JH","f'",20,"4","Mappe_01_0009","Rohrbach","b. S.","Sinsheim (Elsenz)","Baden","III_19"
"10","JH","g'",18,"4","Mappe_01_0010","Buchenau","999","Bruchsal","Gau Baden","III_20"
"11","JH","g'",20,"2","Mappe_01_0011","Sulzfeld","999","Sinsheim","Baden","III_20"
"12","JH","i'",18,"3","Mappe_01_0012","Stupferich","999","Karlsruhe","999","III_22"
"13","JH","t'",17,"8","Mappe_01_0013","Weilersbach","999","Villingen (Schw.)","Baden","III_32"
"14","JH","v'",20,"1","Mappe_01_0014","Emmingen","ab Egg","Donaueschingen","Baden","III_34"
"15","JH","x'",17,"13","Mappe_01_0015","Weizen","999","Waldshut","Baden","III_36"
"16","JH","x'",19,"12","Mappe_01_0016","Singen","999","Konstanz","Baden","III_36"
"17","JH","x'",21,"9","Mappe_01_0017","Hödingen","999","Überlingen","Baden","III_36"
"18","JH","z'",22,"1","Mappe_01_0018","Konztanz","999","Konstanz","Baden","III_38"
"19","JH","i'",16,"6","Mappe_01_0019","Würmersheim","999","Rastatt","Baden","III_5"
"20","JH","l'",12,"2","Mappe_01_0020","Zöbersdorf","999","Straßburg-Land","Unter-Elsaß","III_7"
"21","JH","l'",15,"15","Mappe_01_0021","Sinzheim","999","Bühl","Baden","III_7"
"22","JH","u'",14,"1","Mappe_01_0022","Auenheim","999","Kehl","Baden","III_13"
"23","JH","v'",16,"1","Mappe_01_0023","Seebach","999","Bühl","Baden","III_13"
"24","JH","p'",13,"7","Mappe_01_0024","Ichenheim","999","Lahr","Baden","III_10"
"25","JH","p'",16,"7","Mappe_01_0025","Löcherberg","999","Offenburg","Baden","III_10"
"26","JH","s'",13,"1","Mappe_01_0026","Niederhausen","999","Emmendingen","Baden","III_12"
"27","JH","s'",13,"13","Mappe_01_0027","Bombach","999","Emmendingen","Baden","III_12"
"28","JH","t'",13,"2","Mappe_01_0028","Bottingen","999","Emmendingen","Baden","III_12"
"29","JH","v'",13,"11","Mappe_01_0029","Kirchhofen","999","Freiburg","Gau Baden","III_13"
"30","JH","w'",12,"2","Mappe_01_0030","Blodelsheim","999","Gebweiler","Elsaß","III_14"
"31","JH","x'",13,"6","Mappe_01_0031","Elbenschwand","999","Lörrach","Baden","III_14"
"32","JH","y'",15,"20","Mappe_01_0032","Höchenschwand","999","Waldshut","Baden","III_15"
"33","JH","z'",14,"4","Mappe_01_0033","Schwörstadt","999","Säckingen","Baden","III_16"
"34","JH","z'",15,"18","Mappe_01_0034","Birkingen","999","Waldshut","Baden","III_16"
"35","JH","s'",16,"1","Mappe_01_0035","Gutach","999","Wolfach","Baden","III_12"
"36","JH","v'",17,"8","Mappe_01_0036","Hüfingen","999","Donaueschingen","Baden","III_34"
"37","JH","O'",6,"10","XXI_01_0001","Bleibuir","999","Schleiden","Rheinland","II_15"
"38","JH","O'",7,"14","XXI_01_0002","Kreuzweingarten","999","Euskirchen Reg. Bez. Köln","Rheinland","II_15"
"39","JH","O'",9,"17","XXI_01_0003","Pissenheim","999","Bonn_Land","Rheinprovinz","II_15"
"40","JH","O'",14,"18","XXI_01_0004","Dreifelden","999","Oberwesterwald","Hessen-Nassau","II_45"
"41","JH","O'",21,"12","XXI_01_0005","Ober-Seibertenrod","999","Alsfeld","Oberhessen","II_45"
"42","JH","O'",26,"3","XXI_01_0006","Hofbieber","999","Fulda","Hessen-Nassau","II_78"
"43","JH","P'",12,"9","XXI_01_0007","Dierdorf","999","Neuwied","Rheinland","II_16"
"44","JH","P'",15,"15","XXI_01_0008","Ellar","999","Limburg","Hessen-Nassau","II_46"
"45","JH","P'",17,"12","XXI_01_0009","Hermannstein","999","Wetzlar","Hessen-Nassau","II_46"
"46","JH","P'",20,"2","XXI_01_0010","Harbach","999","Gießen","Oberhessen","II_46"
"47","JH","P'",23,"14","XXI_01_0011","Stockhausen","999","Lauterbach","Oberhessen","II_79"
"48","JH","Q'",5,"4","XXI_01_0012","Hellenthal","999","Schleiden","Rheinprovinz","II_17"
"49","JH","Q'",11,"6","XXI_01_0013","Neuwied","999","Neuwied","Rhein","II_17"
"50","JH","Q'",13,"20","XXI_01_0014","Montabaur","999","Unterwesterwald","Hessen-Nassau","II_47"
"51","JH","Q'",17,"13","XXI_01_0015","Brandoberdorf","999","Wetzlar","Hessen-Nassau","II_47"
"52","JH","Q'",19,"13","XXI_01_0016","Wohnbach","999","Friedberg","Oberhessen","II_47"
"53","JH","Q'",21,"8","XXI_01_0017","Glashütten","999","Büdingen","Oberhessen","II_47"
"54","JH","Q'",23,"16","XXI_01_0018","Hintersteinau","999","Schlüchtern","Hessen-Nassau","II_80"
"55","JH","Q'",25,"16","XXI_01_0019","Dalherda","999","Fulda","Hessen-Nassau","II_80"
"56","JH","Q'",28,"5","XXI_01_0020","Unterwaldbehrungen","999","Mellrichstadt /Rhön","999","II_80"
"57","JH","R'",7,"4","XXI_01_0021","Antweiler","Ahr.","Ahrweiler","Rheinprovinz","II_18"
"58","JH","R'",10,"4","XXI_01_0022","Obermendig","999","Mayen","Rheinprovinz","II_18"
"59","JH","R'",16,"12","XXI_01_0023","Eisenbach","999","Limburg","Hessen-Nassau","II_48"
"60","JH","R'",35,"4","XXI_01_0024","Tschirn","999","Kronach","Bayrische Ostmark Bayern","II_109"
"61","JH","S'",3,"2","XXI_01_0025","St. Vith","999","Malmedy","Rheinprovinz","II_19"
"62","JH","S'",9,"21","XXI_01_0026","Düngenheim","999","Kochem","Rheinprovinz","II_19"
"63","JH","S'",17,"17","XXI_01_0027","Arnoldshain","999","Usingen","Hessen-Nassau","II_49"
"64","JH","S'",20,"10","XXI_01_0028","Kaichen","999","Friedberg","Oberhessen","II_49"
"65","JH","S'",21,"6","XXI_01_0029","Düdelsheim","999","Büdingen","Oberhessen","II_49"
"66","JH","S'",24,"3","XXI_01_0030","Marjoss","999","Schlüchtern","Hessen-Nassau","II_82"
"67","JH","S'",26,"2","XXI_01_0031","Geroda","999","Brückenau /Rhön","Gau Würzburg","II_82"
"68","JH","S'",28,"3","XXI_01_0032","Brendlorenzen","999","Neustadt a/s","999","II_82"
"69","JH","S'",29,"8","XXI_01_0033","Aub","i. Grabfeld","Königshofen i. Grabfeld","Mainfranken","II_82"
"70","JH","S'",32,"12","XXI_01_0034","Koburg","999","Koburg","Gau Bayerische Ostmark","II_82"
"71","JH","T'",5,"3","XXI_01_0035","Weinsheim","999","Prüm","Rheinland","II_20"
"72","JH","T'",7,"4","XXI_01_0036","Gees","999","Daun","Rheinland","II_20"
"73","JH","T'",12,"2","XXI_01_0037","Udenhausen","999","St. Goar","Rheinprovinz","II_20"
"74","JH","T'",14,"10","XXI_01_0038","Laufenselden","999","Untertaunuskreis","Hessen-Nassau","II_50"
"75","JH","T'",15,"6","XXI_01_0039","Strinz-Trinitatis","999","Untertaunuskreis","Hessen-Nassau","II_50"
"76","JH","T'",34,"18","XXI_01_0040","Kronach","999","Kronach-Stadtsteinach","Gau Bayreuth","II_83"
"77","JH","T'",36,"1","XXI_01_0041","Reichenbach","b. W.","Kronach-Stadtsteinach","Bayer. Ostmark","II_111"
"78","JH","T'",37,"8","XXI_01_0042","Weislenreuth","999","Münchberg","Oberfranken","II_111"
"79","JH","T'",39,"1","XXI_01_0043","Rehau","999","Rehau","Bay. Ostmark","II_111"
"80","JH","U'",4,"7","XXI_01_0044","Lichtenborn","999","Prüm","Rheinland","II_21"
"81","JH","U'",6,"4","XXI_01_0045","Ralesfeld","999","Prüm","Rheinprovinz","II_21"
"82","JH","U'",7,"13","XXI_01_0046","Manderscheid","999","Wittlich","Rheinprovinz","II_21"
"83","JH","U'",9,"14","XXI_01_0047","Elller","999","Kochem","Rheinprovinz","II_21"
"84","JH","U'",14,"15","XXI_01_0048","Beltheim","999","Simmern","Rheinland","II_51"
"85","JH","U'",13,"12","XXI_01_0049","Bornick","999","Goarshausen","Hessen-Nassau","II_51"
"86","JH","U'",17,"7","XXI_01_0050","Lorsbach","999","Main-Taunus","Hessen-Nassau","II_51"
"87","JH","U'",19,"11","XXI_01_0051","Mühlheim","a. Main","Offenbach","Starkenburg","II_51"
"88","JH","U'",24,"1","XXI_01_0052","Rengersbrunn","999","Gemünden","Unterfranken","II_84"
"89","JH","U'",26,"6","XXI_01_0053","Obereschenbach","999","Hammelburg","Bayern","II_84"
"90","JH","U'",28,"8","XXI_01_0054","Maisbach","999","Schweinfurt","Mainfranken","II_84"
"91","JH","U'",32,"12","XXI_01_0055","Eggenbach","999","Staffelstein","Oberfranken","II_84"
"92","JH","U'",34,"12","XXI_01_0056","Altendorf","999","Lichtenfels","999","II_84"
"93","JH","U'",36,"13","XXI_01_0057","Ködnitz","999","Kulmbach","Oberfranken","II_112"
